graph_number,k5_minor,k33_minor
4225,"{0: [2, 4], 1: [6, 10, 11], 2: [1, 3, 7], 3: [9], 4: [0, 5]}","{0: [8], 1: [1, 9], 2: [3, 11], 3: [6], 4: [7], 5: [4, 10]}"
4226,"{0: [7], 1: [3, 8], 2: [0, 5], 3: [2, 9], 4: [1, 10, 11]}","{0: [11], 1: [1, 2, 4, 7, 9], 2: [5], 3: [0], 4: [10], 5: [3, 8]}"
4227,"{0: [11], 1: [0, 5, 7, 8], 2: [4], 3: [1, 6, 9], 4: [10]}","{0: [1], 1: [2], 2: [4, 5, 7, 8, 10], 3: [9], 4: [6], 5: [11]}"
4228,"{0: [6, 8], 1: [1, 2, 9, 10], 2: [4, 7], 3: [3, 5], 4: [11]}","{0: [7, 8, 11], 1: [0, 9], 2: [6], 3: [1], 4: [10], 5: [3, 5]}"
4229,"{0: [1, 6, 7], 1: [0, 5, 11], 2: [9], 3: [3], 4: [8, 10]}","{0: [3], 1: [7, 8], 2: [2, 5], 3: [10], 4: [6], 5: [4, 11]}"
4230,"{0: [4, 10], 1: [6], 2: [1, 11], 3: [2, 9], 4: [5, 8]}","{0: [10], 1: [8], 2: [1], 3: [6], 4: [11], 5: [2, 5, 9]}"
4231,"{0: [2, 6, 10], 1: [3, 9], 2: [8], 3: [0, 5], 4: [1, 7, 11]}","{0: [2], 1: [9], 2: [7], 3: [4], 4: [1, 11], 5: [10]}"
4232,"{0: [5, 10], 1: [2, 8], 2: [3, 4, 7], 3: [1, 6], 4: [0, 9]}","{0: [1], 1: [7], 2: [0, 5, 10], 3: [9], 4: [6], 5: [11]}"
4233,"{0: [0, 5], 1: [3, 4, 7, 8], 2: [9], 3: [1, 10, 11], 4: [2]}","{0: [7], 1: [4], 2: [1, 6], 3: [8], 4: [9], 5: [5, 10, 11]}"
4234,"{0: [0, 5], 1: [11], 2: [6, 7, 8], 3: [4, 9], 4: [1, 3, 10]}","{0: [10], 1: [9], 2: [11], 3: [2], 4: [4], 5: [3]}"
4235,"{0: [10], 1: [4, 6], 2: [3, 8, 9], 3: [7], 4: [1, 11]}","{0: [5], 1: [4, 6, 8, 9], 2: [10], 3: [2], 4: [1, 11], 5: [3]}"
4236,"{0: [11], 1: [0, 2, 5], 2: [3, 6, 8, 10], 3: [4], 4: [7, 9]}","{0: [9], 1: [1, 11], 2: [3], 3: [7], 4: [6, 8, 10], 5: [4]}"
4237,"{0: [11], 1: [8], 2: [0, 2, 5, 6, 10], 3: [7], 4: [1, 9]}","{0: [0], 1: [1], 2: [10], 3: [9], 4: [5], 5: [3, 11]}"
4238,"{0: [6, 11], 1: [1, 2, 8, 9], 2: [10], 3: [3, 4], 4: [7]}","{0: [2, 8], 1: [0, 5], 2: [7], 3: [11], 4: [9], 5: [3, 4, 6, 10]}"
4239,"{0: [7], 1: [0, 8, 11], 2: [10], 3: [1, 2, 3, 5, 6], 4: [4, 9]}","{0: [1], 1: [2, 6, 7, 10], 2: [0], 3: [9], 4: [5], 5: [11]}"
4240,"{0: [4], 1: [7, 10], 2: [0, 2, 11], 3: [3, 5], 4: [8, 9]}","{0: [2], 1: [10], 2: [0], 3: [6, 11], 4: [8, 9], 5: [3, 4, 5]}"
4241,"{0: [1, 6, 9, 11], 1: [2, 4], 2: [7], 3: [0, 3, 5], 4: [8, 10]}","{0: [1], 1: [0], 2: [10], 3: [6, 9], 4: [2, 3, 4, 7, 8, 11], 5: [5]}"
4242,"{0: [3, 6], 1: [2, 4, 7], 2: [1, 5], 3: [0, 9], 4: [8, 11]}","{0: [3, 5], 1: [2, 7], 2: [1, 6, 9], 3: [0, 11], 4: [10], 5: [4]}"
4243,"{0: [4, 10], 1: [6, 7], 2: [1, 5, 8], 3: [2, 9], 4: [3, 11]}","{0: [3], 1: [7], 2: [2], 3: [4, 6, 9], 4: [10], 5: [5, 8, 11]}"
4244,"{0: [2, 3, 11], 1: [7, 8], 2: [6], 3: [0, 5, 10], 4: [1, 4, 9]}","{0: [7, 10], 1: [1], 2: [0], 3: [5], 4: [4, 9], 5: [11]}"
4245,"{0: [1, 9], 1: [6], 2: [8], 3: [11], 4: [7, 10]}","{0: [11], 1: [9], 2: [2, 5], 3: [10], 4: [0], 5: [1]}"
4246,"{0: [10], 1: [0, 11], 2: [9], 3: [8], 4: [7]}","{0: [1, 5, 6, 7, 9], 1: [0, 2, 11], 2: [10], 3: [8], 4: [4], 5: [3]}"
4247,"{0: [8], 1: [1, 11], 2: [7], 3: [9], 4: [10]}","{0: [5, 6], 1: [0, 2, 9, 10], 2: [11], 3: [4], 4: [3], 5: [1]}"
4248,"{0: [11], 1: [1, 9], 2: [6, 10], 3: [8], 4: [7]}","{0: [11], 1: [6], 2: [2], 3: [0, 5, 8, 9], 4: [4], 5: [3]}"
4249,"{0: [11], 1: [10], 2: [3, 5, 6], 3: [1, 8], 4: [2, 7, 9]}","{0: [2, 4], 1: [6, 10], 2: [0], 3: [9], 4: [11], 5: [5]}"
4250,"{0: [7], 1: [9], 2: [0, 1, 5, 8], 3: [3, 4, 11], 4: [6, 10]}","{0: [5], 1: [9], 2: [6], 3: [10], 4: [0, 1, 8, 11], 5: [2, 3, 4]}"
4251,"{0: [4, 9], 1: [6], 2: [11], 3: [2, 3, 8], 4: [7, 10]}","{0: [7], 1: [5], 2: [4], 3: [2, 3], 4: [1, 8, 9, 11], 5: [10]}"
4252,"{0: [6], 1: [0, 1, 5, 9], 2: [10], 3: [4, 7], 4: [11]}","{0: [11], 1: [4, 9, 10], 2: [5], 3: [6], 4: [0], 5: [1, 3, 7]}"
4253,"{0: [10], 1: [1, 5], 2: [2, 8, 9], 3: [6], 4: [0, 7, 11]}","{0: [2], 1: [0], 2: [1, 8], 3: [9], 4: [4, 6, 7, 11], 5: [5]}"
4254,"{0: [5], 1: [7], 2: [6, 9, 10], 3: [0, 11], 4: [2, 8]}","{0: [5], 1: [9], 2: [3, 11], 3: [2, 8], 4: [7, 10], 5: [6]}"
4255,"{0: [7], 1: [0, 9, 10], 2: [1, 4], 3: [2, 5, 6, 8], 4: [11]}","{0: [2], 1: [3], 2: [9], 3: [6], 4: [1, 11], 5: [8, 10]}"
4256,"{0: [11], 1: [2, 4, 9, 10], 2: [5, 7], 3: [8], 4: [3, 6]}","{0: [6], 1: [0], 2: [8], 3: [2, 4, 5, 7], 4: [9, 10], 5: [3, 11]}"
4257,"{0: [1, 8], 1: [3, 11], 2: [2, 6], 3: [0, 5, 7], 4: [4, 9, 10]}","{0: [9], 1: [5], 2: [11], 3: [0], 4: [3, 6, 8], 5: [10]}"
4258,"{0: [4, 10], 1: [2, 3, 5], 2: [0, 11], 3: [8], 4: [7, 9]}","{0: [9], 1: [4, 8, 11], 2: [3, 5, 6, 10], 3: [0], 4: [2], 5: [7]}"
4259,"{0: [0, 2, 5], 1: [3, 4, 8], 2: [6, 7, 11], 3: [9], 4: [10]}","{0: [1, 2, 6], 1: [0], 2: [10], 3: [11], 4: [9], 5: [5]}"
4260,"{0: [8], 1: [6, 10, 11], 2: [2, 7, 9], 3: [0, 5], 4: [1, 4]}","{0: [1, 11], 1: [6, 8], 2: [0, 9, 10], 3: [2], 4: [4], 5: [5]}"
4261,"{0: [6], 1: [1, 3, 7], 2: [5, 8], 3: [2, 4], 4: [9, 10, 11]}","{0: [6], 1: [0], 2: [2, 4, 10], 3: [5, 8], 4: [3, 7, 9], 5: [11]}"
4262,"{0: [2, 8], 1: [6], 2: [0, 1, 3, 5], 3: [9], 4: [4, 10, 11]}","{0: [9], 1: [5], 2: [11], 3: [2, 6, 8], 4: [0], 5: [1, 3]}"
4263,"{0: [1, 3, 11], 1: [2, 7], 2: [0, 5, 9], 3: [6, 8], 4: [4, 10]}","{0: [6], 1: [9], 2: [7], 3: [2, 10], 4: [0, 4, 5, 11], 5: [8]}"
4264,"{0: [4], 1: [3, 7], 2: [6, 10], 3: [2, 11], 4: [8, 9]}","{0: [2], 1: [7], 2: [10], 3: [11], 4: [6], 5: [3, 4, 8, 9]}"
4265,"{0: [5], 1: [6, 11], 2: [7, 10], 3: [1, 3, 8], 4: [0, 4, 9]}","{0: [10], 1: [6], 2: [1], 3: [3, 8], 4: [4, 7, 9, 11], 5: [5]}"
4266,"{0: [4, 11], 1: [9], 2: [2, 7], 3: [8], 4: [1, 5, 6, 10]}","{0: [7], 1: [9], 2: [6, 11], 3: [3, 4, 10], 4: [2], 5: [8]}"
4267,"{0: [0, 1, 3, 5], 1: [4, 9], 2: [10], 3: [7, 8], 4: [11]}","{0: [2], 1: [9], 2: [8, 10], 3: [1, 3, 4, 11], 4: [0, 5], 5: [7]}"
4268,"{0: [1, 3, 6, 7, 8], 1: [0, 9, 11], 2: [10], 3: [4], 4: [2, 5]}","{0: [4, 10], 1: [1], 2: [0, 7, 11], 3: [3], 4: [9], 5: [2, 5]}"
4269,"{0: [2, 9], 1: [0, 11], 2: [3, 4, 7], 3: [6, 8, 10], 4: [1, 5]}","{0: [9], 1: [7, 10, 11], 2: [5], 3: [2, 4], 4: [1, 3], 5: [0]}"
4270,"{0: [6], 1: [1, 3, 8], 2: [0, 5], 3: [2, 10], 4: [4, 7, 9, 11]}","{0: [11], 1: [2], 2: [8], 3: [9, 10], 4: [7], 5: [3]}"
4271,"{0: [4, 7, 8], 1: [0, 2, 5], 2: [6, 9, 11], 3: [1, 3], 4: [10]}","{0: [0], 1: [7], 2: [1, 2, 10], 3: [9], 4: [11], 5: [5]}"
4272,"{0: [4, 6], 1: [1, 9], 2: [0, 5], 3: [8, 11], 4: [2, 10]}","{0: [4], 1: [9], 2: [3], 3: [2, 6, 10], 4: [1], 5: [0, 8, 11]}"
4273,"{0: [2, 4, 11], 1: [1, 9], 2: [3, 7], 3: [0, 5], 4: [6, 8, 10]}","{0: [2], 1: [9], 2: [7], 3: [0, 10, 11], 4: [6], 5: [1, 3, 5]}"
4274,"{0: [7], 1: [1, 2], 2: [4, 10], 3: [8, 11], 4: [0, 3, 5, 6, 9]}","{0: [1, 3, 7], 1: [0], 2: [10], 3: [2, 4, 6, 8, 9], 4: [5], 5: [11]}"
4275,"{0: [4, 7], 1: [3, 5], 2: [0, 1, 9], 3: [11], 4: [8, 10]}","{0: [3, 8], 1: [1, 4, 9], 2: [10, 11], 3: [7], 4: [5], 5: [6]}"
4276,"{0: [1, 6], 1: [2, 5], 2: [4, 7, 10, 11], 3: [0, 3, 9], 4: [8]}","{0: [5], 1: [1], 2: [3, 4, 7, 9, 11], 3: [2], 4: [10], 5: [6, 8]}"
4277,"{0: [4, 9], 1: [0, 11], 2: [10], 3: [8], 4: [7]}","{0: [6, 11], 1: [9], 2: [5, 8, 10], 3: [0], 4: [7], 5: [3]}"
4278,"{0: [6, 8], 1: [0, 9], 2: [10], 3: [5], 4: [1, 3, 11]}","{0: [10], 1: [1, 2, 4, 7], 2: [0], 3: [8, 11], 4: [5], 5: [9]}"
4279,"{0: [3, 9], 1: [10], 2: [0, 2, 5, 6], 3: [4, 8], 4: [7, 11]}","{0: [2, 8], 1: [5, 6, 10], 2: [0, 9], 3: [11], 4: [1], 5: [3, 4, 7]}"
4280,"{0: [1, 3, 5], 1: [0, 8, 11], 2: [6], 3: [9], 4: [2, 4]}","{0: [1, 2], 1: [6], 2: [3, 10, 11], 3: [5, 7, 8], 4: [4], 5: [9]}"
4281,"{0: [7], 1: [2, 3, 5, 10], 2: [0, 8, 9], 3: [1, 4], 4: [11]}","{0: [10], 1: [1], 2: [5], 3: [3, 9], 4: [0, 4, 11], 5: [2]}"
4282,"{0: [9], 1: [5, 6, 7, 8], 2: [1, 4], 3: [2, 3], 4: [10, 11]}","{0: [4, 6], 1: [9], 2: [2, 11], 3: [10], 4: [3], 5: [5, 7, 8]}"
4283,"{0: [4, 11], 1: [7], 2: [6, 8], 3: [10], 4: [2, 3, 5]}","{0: [0, 4, 11], 1: [2, 5], 2: [8, 9, 10], 3: [1], 4: [3], 5: [7]}"
4284,"{0: [3, 6], 1: [0, 5], 2: [1, 10], 3: [2, 4, 7, 8], 4: [11]}","{0: [7], 1: [0, 4, 5, 8], 2: [6], 3: [2, 9], 4: [10], 5: [11]}"
4285,"{0: [10], 1: [6, 8], 2: [1, 9], 3: [0, 5, 11], 4: [2, 7]}","{0: [11], 1: [3], 2: [7, 8], 3: [2, 9], 4: [6], 5: [4]}"
4286,"{0: [2, 5], 1: [6, 8], 2: [3, 11], 3: [9], 4: [1, 4, 10]}","{0: [8], 1: [2, 4, 5], 2: [3], 3: [7], 4: [1, 10, 11], 5: [6]}"
4287,"{0: [2, 6], 1: [1, 3, 4, 11], 2: [0, 9], 3: [5], 4: [7, 8, 10]}","{0: [1, 3, 7, 9], 1: [0, 5], 2: [11], 3: [8], 4: [10], 5: [2, 4, 6]}"
4288,"{0: [5, 9, 11], 1: [4, 7], 2: [6], 3: [3, 8], 4: [2, 10]}","{0: [2], 1: [3], 2: [9], 3: [4, 7], 4: [8, 11], 5: [1, 6, 10]}"
4289,"{0: [6, 11], 1: [1, 3, 7], 2: [10], 3: [0, 9], 4: [4]}","{0: [11], 1: [7], 2: [2, 4, 6, 8], 3: [3], 4: [1, 10], 5: [5]}"
4290,"{0: [2, 4, 5], 1: [6, 8], 2: [9], 3: [1, 7], 4: [10, 11]}","{0: [6], 1: [2, 5, 9], 2: [1, 7, 10], 3: [4], 4: [8], 5: [11]}"
4291,"{0: [4, 8], 1: [5], 2: [0, 6, 10], 3: [2, 3], 4: [7, 9, 11]}","{0: [1, 7], 1: [0, 4, 8, 10], 2: [2, 5, 6], 3: [9], 4: [11], 5: [3]}"
4292,"{0: [7, 9], 1: [2, 3], 2: [0, 5, 6, 8, 10], 3: [4], 4: [11]}","{0: [2, 3, 5], 1: [7, 10], 2: [11], 3: [8, 9], 4: [6], 5: [4]}"
4293,"{0: [0, 9], 1: [8], 2: [1, 7], 3: [2, 4, 6, 10, 11], 4: [3, 5]}","{0: [7], 1: [0, 10], 2: [3], 3: [2, 4, 6, 9, 11], 4: [5], 5: [1, 8]}"
4294,"{0: [2, 3], 1: [0, 7, 9, 10], 2: [1, 4, 6], 3: [5], 4: [8, 11]}","{0: [8, 11], 1: [0], 2: [3], 3: [10], 4: [5], 5: [1, 2, 6, 9]}"
4295,"{0: [11], 1: [3], 2: [0, 5, 9], 3: [2, 4, 8], 4: [10]}","{0: [11], 1: [0], 2: [3], 3: [5], 4: [2, 8, 9], 5: [10]}"
4296,"{0: [11], 1: [2, 10], 2: [6], 3: [3, 8], 4: [1, 9]}","{0: [1, 10], 1: [5], 2: [7, 9, 11], 3: [2, 6], 4: [0], 5: [4]}"
4297,"{0: [8], 1: [0, 5, 11], 2: [3, 10], 3: [1, 4, 6], 4: [7, 9]}","{0: [0], 1: [2], 2: [8, 11], 3: [6, 10], 4: [3, 5, 7], 5: [9]}"
4298,"{0: [6, 7], 1: [10], 2: [0, 3, 5, 8], 3: [1, 4, 11], 4: [2, 9]}","{0: [1], 1: [4, 7, 9], 2: [3], 3: [5, 8], 4: [11], 5: [10]}"
4299,"{0: [2, 11], 1: [6, 8], 2: [0, 5, 10], 3: [4, 7], 4: [9]}","{0: [9], 1: [7], 2: [11], 3: [8], 4: [4], 5: [1, 3, 5]}"
4300,"{0: [3, 7], 1: [0, 9], 2: [2, 11], 3: [6], 4: [4, 10]}","{0: [9], 1: [0, 10], 2: [2, 4, 11], 3: [6], 4: [3, 7], 5: [1, 5]}"
4301,"{0: [3, 7], 1: [5, 6, 8, 11], 2: [0, 9], 3: [2, 10], 4: [4]}","{0: [2, 5], 1: [0, 6, 10, 11], 2: [9], 3: [4], 4: [1], 5: [8]}"
4302,"{0: [9], 1: [2, 5, 11], 2: [0, 10], 3: [6, 8], 4: [3, 7]}","{0: [9], 1: [0, 10], 2: [7], 3: [2, 6, 11], 4: [3], 5: [1, 4, 5]}"
4303,"{0: [2, 3, 9], 1: [4, 6], 2: [8], 3: [1, 5, 10, 11], 4: [7]}","{0: [10], 1: [7], 2: [0, 2, 4, 5], 3: [11], 4: [6, 8], 5: [1, 3, 9]}"
4304,"{0: [11], 1: [7], 2: [8], 3: [1, 4, 5], 4: [3, 6, 10]}","{0: [5, 7], 1: [4], 2: [2], 3: [3, 6, 8], 4: [1, 9, 10], 5: [11]}"
4305,"{0: [4, 11], 1: [0, 9, 10], 2: [1, 8], 3: [3, 6], 4: [5]}","{0: [7, 8, 9], 1: [0, 4, 10], 2: [5, 6], 3: [11], 4: [1], 5: [3]}"
4306,"{0: [7], 1: [5], 2: [0, 10], 3: [2, 9, 11], 4: [1, 6, 8]}","{0: [1], 1: [0, 9], 2: [7], 3: [5], 4: [2, 3, 4, 6, 8], 5: [10]}"
4307,"{0: [5], 1: [1, 6, 8, 10], 2: [0, 9], 3: [2, 3, 4], 4: [11]}","{0: [10], 1: [9], 2: [2], 3: [4], 4: [6], 5: [11]}"
4308,"{0: [10], 1: [6, 8], 2: [3, 4], 3: [0, 9], 4: [5, 7, 11]}","{0: [1, 5], 1: [6, 9], 2: [7], 3: [2, 3], 4: [8], 5: [10, 11]}"
4309,"{0: [11], 1: [1, 7], 2: [0, 8, 9], 3: [2, 5, 6, 10], 4: [4]}","{0: [10], 1: [1, 4, 7, 11], 2: [0, 9], 3: [2], 4: [8], 5: [5, 6]}"
4310,"{0: [5, 8], 1: [6, 7], 2: [2, 3], 3: [10], 4: [0, 9, 11]}","{0: [5, 8], 1: [7, 10], 2: [9], 3: [0], 4: [6], 5: [1, 11]}"
4311,"{0: [9], 1: [6, 10, 11], 2: [2, 3, 4], 3: [0, 5], 4: [8]}","{0: [7], 1: [9], 2: [5], 3: [0, 1, 4, 6, 10], 4: [8, 11], 5: [2, 3]}"
4312,"{0: [7, 8], 1: [0, 3, 10], 2: [2, 4, 5], 3: [11], 4: [1, 6, 9]}","{0: [0, 10], 1: [1], 2: [2, 5, 6, 11], 3: [9], 4: [7, 8], 5: [4]}"
4313,"{0: [7], 1: [0, 2, 3, 8, 9], 2: [5, 6, 11], 3: [10], 4: [1, 4]}","{0: [2, 4], 1: [0], 2: [6], 3: [5, 8, 11], 4: [3, 9], 5: [10]}"
4314,"{0: [3, 11], 1: [0, 9], 2: [2, 4], 3: [1, 6, 8, 10], 4: [5, 7]}","{0: [8], 1: [6], 2: [0], 3: [5, 7], 4: [10], 5: [9, 11]}"
4315,"{0: [5, 7, 11], 1: [2, 9], 2: [8, 10], 3: [4], 4: [1, 6]}","{0: [2, 4], 1: [0, 5, 7, 11], 2: [8], 3: [10], 4: [9], 5: [1, 6]}"
4316,"{0: [7, 9], 1: [8], 2: [2, 5], 3: [0, 3, 4, 10], 4: [1, 11]}","{0: [1], 1: [2], 2: [7], 3: [8, 11], 4: [5], 5: [3, 4, 6, 9, 10]}"
4317,"{0: [2, 5, 11], 1: [9], 2: [8], 3: [0, 10], 4: [6, 7]}","{0: [1], 1: [2], 2: [0, 9], 3: [4, 11], 4: [5], 5: [3, 6, 7, 8, 10]}"
4318,"{0: [8], 1: [5, 6], 2: [0, 7, 10], 3: [3, 4, 11], 4: [9]}","{0: [1, 2, 3], 1: [0, 5, 6, 9, 11], 2: [7], 3: [4], 4: [10], 5: [8]}"
4319,"{0: [9], 1: [2, 4], 2: [1, 3], 3: [6, 11], 4: [8, 10]}","{0: [8], 1: [0], 2: [6], 3: [5], 4: [9], 5: [10, 11]}"
4320,"{0: [4, 9], 1: [2, 11], 2: [1, 3, 5], 3: [6, 10], 4: [8]}","{0: [4, 8], 1: [6], 2: [7, 11], 3: [10], 4: [2], 5: [9]}"
4321,"{0: [0, 5], 1: [1, 3, 4], 2: [10], 3: [8], 4: [9, 11]}","{0: [2, 10], 1: [4], 2: [7, 9], 3: [1, 3], 4: [11], 5: [0, 5, 8]}"
4322,"{0: [7, 10], 1: [4, 6], 2: [5, 11], 3: [2, 9], 4: [1, 8]}","{0: [1, 8], 1: [0, 4, 5, 11], 2: [2, 6, 10], 3: [3], 4: [9], 5: [7]}"
4323,"{0: [10, 11], 1: [7], 2: [3, 6], 3: [8], 4: [1, 2, 5, 9]}","{0: [10], 1: [3, 6], 2: [2, 9], 3: [8], 4: [1, 4], 5: [11]}"
4324,"{0: [4, 8], 1: [3, 10], 2: [6], 3: [1, 2, 9], 4: [5, 7, 11]}","{0: [1, 2, 6], 1: [0, 7, 9], 2: [10], 3: [11], 4: [4, 8], 5: [3]}"
4325,"{0: [2, 7], 1: [1, 11], 2: [0, 6, 10], 3: [8], 4: [9]}","{0: [4], 1: [9], 2: [5, 7, 10], 3: [11], 4: [6, 8], 5: [3]}"
4326,"{0: [5, 11], 1: [3, 4], 2: [0, 2, 8, 9], 3: [10], 4: [6]}","{0: [4], 1: [0, 9], 2: [5], 3: [2, 6, 7, 8, 10], 4: [11], 5: [3]}"
4327,"{0: [0, 5], 1: [11], 2: [2, 9], 3: [3, 8, 10], 4: [6]}","{0: [1], 1: [0], 2: [6], 3: [2, 9], 4: [5], 5: [3, 4, 10, 11]}"
4328,"{0: [1, 6, 10, 11], 1: [8], 2: [3, 4], 3: [5], 4: [0, 9]}","{0: [0, 10], 1: [9, 11], 2: [3], 3: [6, 7], 4: [5, 8], 5: [4]}"
4329,"{0: [1, 5, 11], 1: [2, 3, 4], 2: [6, 8, 9], 3: [7], 4: [10]}","{0: [5], 1: [0, 7, 8, 9, 10], 2: [2, 4], 3: [3], 4: [1], 5: [11]}"
4330,"{0: [6], 1: [4, 10], 2: [0, 5, 8, 9], 3: [11], 4: [7]}","{0: [5, 8], 1: [3, 10], 2: [6, 9], 3: [0], 4: [7, 11], 5: [2]}"
4331,"{0: [7, 11], 1: [10], 2: [2, 4], 3: [6, 8, 9], 4: [3]}","{0: [0], 1: [6], 2: [4, 11], 3: [5, 7], 4: [9], 5: [8, 10]}"
4332,"{0: [3, 9], 1: [1, 2, 7, 10], 2: [6], 3: [4], 4: [8, 11]}","{0: [1, 2], 1: [0, 10], 2: [3], 3: [4, 6], 4: [5, 7, 8, 11], 5: [9]}"
4333,"{0: [5, 6, 8], 1: [9], 2: [2, 7], 3: [3, 11], 4: [4]}","{0: [1], 1: [0, 9, 10], 2: [6, 8], 3: [2, 4, 7, 11], 4: [5], 5: [3]}"
4334,"{0: [0, 8], 1: [2, 10, 11], 2: [4, 9], 3: [3, 7], 4: [5, 6]}","{0: [1], 1: [11], 2: [7], 3: [2, 5, 10], 4: [3, 8], 5: [9]}"
4335,"{0: [5, 6], 1: [7], 2: [1, 3, 11], 3: [8, 9], 4: [2, 4, 10]}","{0: [4, 10], 1: [2, 3], 2: [1], 3: [8], 4: [6, 11], 5: [7, 9]}"
4336,"{0: [10], 1: [2, 6], 2: [3, 8], 3: [5, 9, 11], 4: [1, 7]}","{0: [3], 1: [1], 2: [4, 10], 3: [2, 7], 4: [11], 5: [0, 5, 6, 8]}"
4337,"{0: [7], 1: [1, 9], 2: [4, 5, 11], 3: [10], 4: [0, 8]}","{0: [6], 1: [11], 2: [8], 3: [0, 3, 4, 5], 4: [1, 7, 9, 10], 5: [2]}"
4338,"{0: [4, 6, 10], 1: [0, 1, 11], 2: [8], 3: [7], 4: [9]}","{0: [0, 2, 3, 5, 8, 11], 1: [9], 2: [6], 3: [10], 4: [1], 5: [4, 7]}"
4339,"{0: [3], 1: [9], 2: [0, 11], 3: [7, 8], 4: [4, 10]}","{0: [1], 1: [0, 8, 9], 2: [2, 6], 3: [11], 4: [5, 7], 5: [3, 10]}"
4340,"{0: [4, 11], 1: [0, 5], 2: [6, 7], 3: [2, 8], 4: [9]}","{0: [11], 1: [0, 5], 2: [2, 3, 8, 10], 3: [1], 4: [9], 5: [6, 7]}"
4341,"{0: [0, 6, 8], 1: [3, 9], 2: [1, 5], 3: [4, 7], 4: [11]}","{0: [2], 1: [7], 2: [6, 8], 3: [10], 4: [3, 9], 5: [4, 5, 11]}"
4342,"{0: [7, 10], 1: [3, 6], 2: [0, 8], 3: [2, 9], 4: [11]}","{0: [10], 1: [0, 8], 2: [4], 3: [6, 7], 4: [11], 5: [5]}"
4343,"{0: [1, 6, 8], 1: [4, 11], 2: [7], 3: [10], 4: [9]}","{0: [1], 1: [0], 2: [7], 3: [8], 4: [5, 6, 9], 5: [11]}"
4344,"{0: [10], 1: [1, 8, 9], 2: [6], 3: [4, 11], 4: [7]}","{0: [11], 1: [8], 2: [5], 3: [9], 4: [0], 5: [1]}"
4345,"{0: [3, 6, 8], 1: [10], 2: [11], 3: [4], 4: [9]}","{0: [1], 1: [3], 2: [2, 10, 11], 3: [4, 9], 4: [6, 7, 8], 5: [5]}"
4346,"{0: [7], 1: [2, 5], 2: [4, 10], 3: [1, 3, 6, 8], 4: [0, 9, 11]}","{0: [6], 1: [4], 2: [7], 3: [1, 5, 10], 4: [2, 3], 5: [8, 9, 11]}"
4347,"{0: [7], 1: [1, 2, 4], 2: [6, 8, 10], 3: [9], 4: [0, 3, 5, 11]}","{0: [6], 1: [2, 4, 7], 2: [0, 5], 3: [8], 4: [3], 5: [10, 11]}"
4348,"{0: [7], 1: [0, 11], 2: [1, 2, 4], 3: [8, 9, 10], 4: [3, 5]}","{0: [3, 4], 1: [0], 2: [6, 9, 10], 3: [1, 8], 4: [7, 11], 5: [5]}"
4349,"{0: [1, 8], 1: [9, 11], 2: [4, 10], 3: [6], 4: [3, 7]}","{0: [3, 5], 1: [10], 2: [1, 4, 8], 3: [2, 7, 11], 4: [6], 5: [9]}"
4350,"{0: [2, 4, 7, 9], 1: [11], 2: [0, 8], 3: [5, 10], 4: [6]}","{0: [2], 1: [0, 11], 2: [6, 7, 10], 3: [5], 4: [4, 9], 5: [8]}"
4351,"{0: [10], 1: [5], 2: [0, 8], 3: [3, 6, 7], 4: [2, 11]}","{0: [9], 1: [10], 2: [1, 6], 3: [3], 4: [11], 5: [8]}"
4352,"{0: [2, 5], 1: [1, 3, 4], 2: [7], 3: [8, 9, 10], 4: [0, 11]}","{0: [6], 1: [0, 5], 2: [7], 3: [2, 9, 10, 11], 4: [8], 5: [1, 3, 4]}"
4353,"{0: [2, 6, 9, 11], 1: [0, 5], 2: [8], 3: [3, 10], 4: [7]}","{0: [1], 1: [0, 6, 8], 2: [10], 3: [4, 9], 4: [11], 5: [5]}"
4354,"{0: [4, 9], 1: [0, 5, 7, 8], 2: [1, 3], 3: [6, 10], 4: [2, 11]}","{0: [10], 1: [5], 2: [11], 3: [6, 9], 4: [7], 5: [0, 8]}"
4355,"{0: [1, 3, 8, 10], 1: [6], 2: [0, 5, 7, 9], 3: [2, 4], 4: [11]}","{0: [1, 3, 6], 1: [2], 2: [9], 3: [11], 4: [4], 5: [8, 10]}"
4356,"{0: [6], 1: [9], 2: [3, 10, 11], 3: [2, 5], 4: [4, 7, 8]}","{0: [6], 1: [0, 8], 2: [1, 2, 3, 11], 3: [9], 4: [4, 7], 5: [5]}"
4357,"{0: [1, 6, 11], 1: [0, 8], 2: [5, 7], 3: [9], 4: [3]}","{0: [0, 8], 1: [2], 2: [1], 3: [10], 4: [6, 11], 5: [3, 9]}"
4358,"{0: [3, 9, 11], 1: [5], 2: [0, 1, 2, 6, 8], 3: [4], 4: [10]}","{0: [4], 1: [0], 2: [9], 3: [11], 4: [5], 5: [1, 6, 8, 10]}"
4359,"{0: [9, 10], 1: [3, 6], 2: [4, 11], 3: [7], 4: [1, 2, 8]}","{0: [2, 4, 7], 1: [1], 2: [9], 3: [8], 4: [0, 5], 5: [3, 10, 11]}"
4360,"{0: [1, 4], 1: [0, 8, 11], 2: [9], 3: [5, 10], 4: [3, 7]}","{0: [1, 4, 9], 1: [0], 2: [10], 3: [2, 5], 4: [6, 7, 11], 5: [8]}"
