graph_number,k5_minor,k33_minor
80,"{0: [9], 1: [0, 7], 2: [5, 6, 8], 3: [1, 4], 4: [3]}","{0: [7], 1: [5], 2: [0, 9], 3: [8], 4: [2, 4, 6], 5: [3]}"
81,"{0: [4, 7], 1: [9], 2: [3, 5], 3: [8], 4: [6]}","{0: [4], 1: [2, 9], 2: [8], 3: [6], 4: [7], 5: [1]}"
82,"{0: [4], 1: [9], 2: [1, 8], 3: [2], 4: [0, 3, 5, 7]}","{0: [6], 1: [7, 9], 2: [3, 8], 3: [1, 2], 4: [0], 5: [5]}"
83,"{0: [4], 1: [5], 2: [3], 3: [6, 8, 9], 4: [1, 2, 7]}","{0: [2], 1: [9], 2: [0], 3: [8], 4: [6], 5: [1, 3, 5, 7]}"
84,"{0: [9], 1: [0, 8], 2: [6], 3: [7], 4: [1, 5]}","{0: [6], 1: [0], 2: [2], 3: [8], 4: [9], 5: [5]}"
85,"{0: [5], 1: [0, 8], 2: [1, 4], 3: [2, 7, 9], 4: [3]}","{0: [0], 1: [7], 2: [4], 3: [5], 4: [9], 5: [8]}"
86,"{0: [3], 1: [0, 5], 2: [8], 3: [6, 7], 4: [4, 9]}","{0: [2, 9], 1: [4, 5], 2: [1, 3, 8], 3: [0], 4: [7], 5: [6]}"
87,"{0: [5, 8], 1: [1, 7], 2: [3, 6], 3: [2, 4], 4: [0, 9]}","{0: [0], 1: [8], 2: [1], 3: [5], 4: [7], 5: [9]}"
88,"{0: [5], 1: [2, 8, 9], 2: [0, 7], 3: [1, 4], 4: [3, 6]}","{0: [8], 1: [0, 2, 9], 2: [1], 3: [4], 4: [3, 7], 5: [5]}"
89,"{0: [3, 8], 1: [1], 2: [0, 9], 3: [5, 6], 4: [7]}","{0: [1, 8], 1: [7], 2: [5], 3: [0], 4: [6], 5: [9]}"
90,"{0: [2, 7, 9], 1: [4], 2: [6], 3: [8], 4: [0, 3, 5]}","{0: [1, 6], 1: [9], 2: [0, 3, 4, 8], 3: [5], 4: [7], 5: [2]}"
91,"{0: [8], 1: [3, 6], 2: [1, 2], 3: [0, 9], 4: [4]}","{0: [6], 1: [0, 8], 2: [9], 3: [7], 4: [4], 5: [5]}"
92,"{0: [8], 1: [6], 2: [1, 7, 9], 3: [3], 4: [4]}","{0: [2], 1: [1], 2: [0, 6, 8], 3: [5], 4: [7], 5: [9]}"
93,"{0: [2, 8], 1: [6], 2: [3, 4], 3: [0, 5], 4: [7, 9]}","{0: [8], 1: [1], 2: [0], 3: [6], 4: [9], 5: [5]}"
94,"{0: [0, 5, 6], 1: [8], 2: [9], 3: [7], 4: [4]}","{0: [0], 1: [1], 2: [4], 3: [6], 4: [9], 5: [5]}"
95,"{0: [1, 9], 1: [4], 2: [5, 7], 3: [8], 4: [3, 6]}","{0: [3], 1: [4], 2: [1, 2, 9], 3: [6], 4: [7], 5: [5, 8]}"
96,"{0: [5], 1: [0, 6], 2: [1, 3], 3: [7], 4: [8, 9]}","{0: [8], 1: [0], 2: [7], 3: [6], 4: [9], 5: [5]}"
97,"{0: [4], 1: [8], 2: [2, 5], 3: [1, 6, 9], 4: [7]}","{0: [2], 1: [0], 2: [7], 3: [8], 4: [5], 5: [6]}"
